EDAD	NACIONALIDAD
65	Chinese
63	Chinese
37	Canadian
67	Chinese
27	Chinese
62	Malaysian
43	Russian
59	Australian
54	Australian
32	Chinese
46	Malaysian
68	Chinese
58	Chinese
35	Chinese
43	Malaysian
57	Chinese
31	Malaysian
45	Chinese Taipei
33	Malaysian
45	Ukrainian
58	Chinese
56	Malaysian
45	Ukrainian
36	Chinese
30	Malaysian
28	Chinese
43	Chinese
62	Chinese
48	Chinese
61	Chinese
50	Chinese
21	Chinese
70	Chinese
28	Chinese
44	Chinese
49	Chinese
27	Chinese
31	Australian
34	Malaysian
35	Chinese
53	Chinese
57	Malaysian
45	Chinese
35	Chinese
3	Chinese
34	Chinese
30	Chinese
43	Chinese
66	Malaysian
32	Chinese
62	Chinese
62	Chinese
27	Chinese
32	Chinese
58	Chinese
41	Malaysian
32	Chinese
34	Chinese
40	Malaysian
55	Indian
23	Indian
59	Indian
30	Austrian
54	Australian
58	Australian
32	Malaysian
55	Malaysian
29	Chinese
41	Chinese
56	Chinese
20	Chinese
27	Chinese
69	Chinese
29	Chinese
31	Chinese
33	Australian
27	Chinese
30	Chinese
35	Chinese
36	Chinese
60	Chinese
30	Chinese
43	Malaysian
27	Chinese
34	Chinese
65	Chinese
33	Chinese
40	Chinese
76	Chinese
46	Chinese
72	Chinese
79	Chinese
57	Chinese
33	Chinese
45	Chinese
29	Chinese
57	Chinese
33	Chinese
35	Chinese
72	Chinese
37	Italian
52	Malaysian
39	Malaysian
4	American
40	Chinese
70	Chinese
64	Chinese
29	Malaysian
33	Malaysian
24	Malaysian
31	Malaysian
42	Canadian
37	Malaysian
33	Malaysian
38	Chinese
34	Malaysian
32	Malaysian
51	Indian
26	Chinese
44	Indian
53	Malaysian
25	Indonesian
32	Chinese
60	Chinese
25	Chinese
71	Chinese
42	Indonesian
35	Indonesian
47	Indonesian
50	Dutch
32	Malaysian
46	Malaysian
19	Malaysian
48	Malaysian
42	Malaysian
31	Chinese
57	Chinese
57	Indonesian
50	Malaysian
36	Malaysian
29	Chinese
51	Chinese
31	Malaysian
47	Indonesian
42	Malaysian
69	Chinese
61	Chinese
61	Chinese
34	Chinese
43	Chinese
54	Chinese
26	Chinese
28	Chinese
59	Chinese
53	Indonesian
27	Chinese
33	Chinese
30	Chinese
49	Chinese
50	New Zealander
35	Chinese
2	Chinese
14	French
17	French
52	French
39	New Zealander
34	Chinese
32	Chinese
39	Chinese
53	Malaysian
51	American
51	Chinese
32	Chinese
36	Chinese
27	Chinese
63	Chinese
57	Chinese
26	Chinese
29	Chinese
29	Chinese
27	Chinese
35	Chinese
60	Chinese
26	Chinese
65	Chinese
57	Chinese
59	Chinese
70	Chinese
31	Chinese
39	Malaysian
33	Chinese
21	Chinese
63	Chinese
51	Chinese
26	Chinese
50	Malaysian
58	Chinese
58	Chinese
43	Chinese
31	Chinese
45	Chinese
43	Chinese
61	Chinese
34	Chinese
71	Chinese
32	Chinese
42	Chinese
31	Chinese
72	Chinese
29	Chinese
61	Chinese
36	Chinese
2	American
44	Chinese
43	Chinese
32	Chinese
46	Chinese
37	Chinese
3	Chinese
25	Chinese
18	French
73	Chinese
42	Chinese
56	Chinese
61	Chinese
64	Chinese
41	Chinese
